en_curid,name,numlangs,countryCode,countryCode3,countryName,continentName,birthyear,birthcity,gender,occupation,industry,domain,dataset,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
184136,"Ted Kennedy",53,US,USA,"United States","North America",1932,Brookline,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,10938265,2.267077275,356191.8243,9306286,1631979,206382.3585,21.41189925
184194,"Joseph Pulitzer",47,HU,HUN,Hungary,Europe,1847,"Makó",Male,JOURNALIST,LANGUAGE,HUMANITIES,OGC,1513179,6.301523929,6047.397855,918497,594682,32195.29787,23.91991473
184215,"Adolphe Quetelet",28,BE,BEL,Belgium,Europe,1796,Ghent,Male,ASTRONOMER,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,463785,6.601843351,4823.938274,233485,230300,16563.75,21.73663142
184236,"Ibn Saud of Saudi Arabia",46,SA,SAU,"Saudi Arabia",Asia,1880,Riyadh,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,2795585,5.356879306,28672.76856,808834,1986751,60773.58696,23.83985811
184394,"Heinz Guderian",45,PL,POL,Poland,Europe,1888,"Chełmno",Male,"MILITARY PERSONNEL",MILITARY,INSTITUTIONS,OGC,3811522,10.32833685,12921.44787,1286117,2525405,84700.48889,25.77658709
184507,"Valdemar I of Denmark",27,DK,DNK,Denmark,Europe,1131,"",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,354949,9.273854966,1171.193689,116589,238360,13146.25926,24.23417537
184549,"Samuel Hahnemann",40,DE,DEU,Germany,Europe,1755,Meissen,Male,PHYSICIAN,MEDICINE,"SCIENCE & TECHNOLOGY",OGC,971985,8.302290184,3130.95859,365393,606592,24299.625,24.58797121
184794,Joseph,45,IL,ISR,Israel,Asia,-3500,Canaan,Male,"RELIGIOUS FIGURE",RELIGION,INSTITUTIONS,OGC,578635,7.434221944,4545.825581,19111,559524,12858.55556,25.83170547
184860,"Norah Jones",48,US,USA,"United States","North America",1979,Brooklyn,Female,MUSICIAN,MUSIC,ARTS,OGC,12479319,5.181222846,121659.3597,7555385,4923934,259985.8125,18.6806717
185034,"Bernard Lewis",28,GB,GBR,"United Kingdom",Europe,1916,London,Male,HISTORIAN,HISTORY,HUMANITIES,OGC,1023962,4.603779744,3572.484288,656560,367402,36570.07143,22.35475782
185062,"Pete Conrad",29,US,USA,"United States","North America",1930,Philadelphia,Male,ASTRONAUT,EXPLORERS,EXPLORATION,OGC,1059621,4.142650715,16456.44557,727877,331744,36538.65517,20.57655349
185107,"Alexei Nikolaevich, Tsarevich of Russia",30,RU,RUS,Russia,Europe,1904,Peterhof,Male,NOBLEMAN,GOVERNMENT,INSTITUTIONS,OGC,1297784,10.04638083,6811.51671,45467,1252317,43259.46667,24.10614053
185220,"Livius Andronicus",39,IT,ITA,Italy,Europe,-283,Taranto,Male,WRITER,LANGUAGE,HUMANITIES,OGC,461539,10.19916989,1724.408022,73978,387561,11834.33333,25.7489666
185228,"Väinö Linna",26,FI,FIN,Finland,Europe,1920,Urjala,Male,WRITER,LANGUAGE,HUMANITIES,OGC,428511,5.457870398,1725.255287,61856,366655,16481.19231,22.27518651
185447,"Hanna Reitsch",28,PL,POL,Poland,Europe,1912,"Jelenia Góra",Female,PILOT,MILITARY,INSTITUTIONS,OGC,1538815,6.548563419,5356.496318,667263,871552,54957.67857,23.60237847
185490,"Gottlieb Daimler",50,DE,DEU,Germany,Europe,1834,Schorndorf,Male,ENGINEER,ENGINEERING,"SCIENCE & TECHNOLOGY",OGC,2100065,9.92592722,6899.978196,668963,1431102,42001.3,25.56457568
185510,"Seneca the Elder",30,ES,ESP,Spain,Europe,-54,"Córdoba",Male,WRITER,LANGUAGE,HUMANITIES,OGC,528106,7.6346123,1316.727875,231726,296380,17603.53333,25.2574297
185576,"Mikhail Lermontov",59,RU,RUS,Russia,Europe,1814,Moscow,Male,WRITER,LANGUAGE,HUMANITIES,OGC,1419489,18.85801147,4897.122273,443645,975844,24059.13559,26.01658397
185691,"Orlande de Lassus",43,BE,BEL,Belgium,Europe,1532,Mons,Male,COMPOSER,MUSIC,ARTS,OGC,1113439,13.84911751,4075.55154,263130,850309,25893.93023,25.83125976
185816,"Íngrid Betancourt",33,CO,COL,Colombia,"South America",1961,"Bogotá",Female,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,3398060,6.529436822,66338.67266,956735,2441325,102971.5152,20.01919184
185853,"Hans Bethe",48,FR,FRA,France,Europe,1906,Strasbourg,Male,PHYSICIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,935988,10.61450361,2540.381713,432501,503487,19499.75,24.36609119
186041,"Ellen Burstyn",34,US,USA,"United States","North America",1932,Detroit,Female,ACTOR,"FILM AND THEATRE",ARTS,OGC,4045349,5.220527923,17825.59497,2365672,1679677,118980.8529,23.83101777
186184,"Adi Shankara",45,IN,IND,India,Asia,788,Kalady,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,2131473,4.226357516,13027.70022,1546967,584506,47366.06667,24.47663292
